Trade Date,Position,Exit_Date,ret%,duration,dd_overall%,dd_trade%,dd_cumulative%
1999-06-15,-1.0,1999-06-16,-6.250742861474945,2.0,-5.918637084352524,-5.26485427676596,-11.231698019386068
1999-06-17,1.0,1999-07-27,8.040242155097355,28.0,2.2728102436843924,-8.957490623430141,-8.958887775701674
1999-07-28,-1.0,1999-08-05,4.248371801470308,7.0,0.3824223413710137,-1.451693940424178,-6.743965662028044
1999-08-06,1.0,1999-08-19,3.4054494678220415,10.0,-1.8551279066950095,-2.3001317712456517,-5.0358995670235185
1999-08-20,-1.0,1999-08-20,-1.408720157001353,1.0,-1.3763196027423468,0.0,-3.676318938875965
1999-08-23,1.0,1999-09-24,1.7138979467939075,24.0,-1.7771284524796809,-5.451471387931832,-5.453447391355646
1999-09-27,-1.0,1999-10-06,-2.446121288028369,8.0,-2.3157336596032487,-5.987620981334341,-7.646116460457915
1999-10-07,0.0,1999-10-11,-0.621596324334539,3.0,-0.5740683454619879,0.0,-8.220184805919903
1999-10-12,1.0,1999-10-13,-4.858208831326117,2.0,-4.458855087133584,-2.961933901532663,-12.679039893053487
1999-10-14,-1.0,1999-10-28,-2.9441130637560486,11.0,-2.570827793905839,-6.9054958070581165,-15.249867686959325
1999-10-29,0.0,1999-10-29,-2.488988315821661,1.0,-2.1094208909149814,0.0,-17.359288577874306
1999-11-01,1.0,2000-03-01,63.62896558311033,84.0,-0.4485577867510804,-15.467758706710615,-17.807846364625387
2000-03-02,0.0,2000-03-16,0.3863245254172698,11.0,0.0,0.0,0.0
2000-03-17,-1.0,2000-03-23,-7.373231505897704,5.0,-7.6202431374975195,-7.618781662157895,-7.6202431374975195
2000-03-24,0.0,2000-03-28,-1.4962466459072954,3.0,-1.3822290135524995,0.0,-9.002472151050018
2000-03-29,-1.0,2000-04-03,10.817243234233587,4.0,4.243552688703059,-1.9131352624882698,-4.7589194623469595
2000-04-04,1.0,2000-04-12,-11.7969100878218,7.0,-13.715294920460932,-13.71481075998686,-13.715294920460932
2000-04-13,-1.0,2000-04-18,1.7258051792748752,4.0,1.489105909184757,-11.047815972867076,-12.226189011276176
2000-04-19,1.0,2000-04-19,-4.174249203788715,1.0,-3.6638976063318287,0.0,-15.890086617608004
2000-04-20,-1.0,2000-05-01,-3.599066241751414,7.0,-3.027171498512055,-11.555413076413453,-18.91725811612006
2000-05-02,1.0,2000-05-02,-1.185306742071468,1.0,0.0,0.0,-18.91725811612006
2000-05-03,-1.0,2000-05-12,0.0,8.0,0.0,0.0,-18.91725811612006
2000-05-15,1.0,2000-05-18,0.0,4.0,0.0,0.0,-18.91725811612006
